id,gpa,gre,college_prep,major_applied,num_ext_act,num_ap_passed,essay_score,num_letter_rec,fasfa_status,admission
46,2.64,289,No,Life Sciences,0,1,7,3,In Progress,Accepted
47,3.73,292,Yes,History,0,4,10,1,In Progress,Accepted
48,3.4,293,Yes,Life Sciences,3,3,9,3,Completed,Accepted
49,2.68,304,Yes,Information Systems,1,7,9,2,Completed,Accepted
50,3.12,294,Yes,Social Sciences,5,6,7,1,Not Started,Accepted
51,3.06,272,Yes,Arts,0,7,5,3,In Progress,Accepted
52,2.89,320,Yes,Social Sciences,2,3,5,1,In Progress,Accepted
53,3.81,277,Yes,Social Sciences,0,1,5,1,Completed,Accepted
54,3.79,310,Yes,Business,4,3,8,1,Not Started,Accepted
55,3.38,296,Yes,Social Sciences,2,1,5,3,Completed,Accepted
56,3.39,279,Yes,Life Sciences,5,0,3,3,In Progress,Accepted
57,3.22,321,Yes,Social Sciences,1,6,6,3,Completed,Accepted
58,3.05,322,Yes,Language,1,4,3,1,Completed,Accepted
59,3.88,301,No,Information Systems,4,4,5,2,Completed,Accepted
60,3.9,299,Yes,Social Sciences,1,1,8,2,Completed,Accepted
61,2.53,298,Yes,Social Sciences,3,0,9,1,Completed,Accepted
62,3.33,323,Yes,History,5,5,9,3,Not Started,Accepted
63,2.56,336,Yes,Communications,4,3,7,3,Completed,Accepted
64,3.78,314,No,Social Sciences,5,6,8,1,In Progress,Rejected
65,3.23,310,Yes,Information Systems,1,7,3,3,Completed,Accepted
66,3.04,292,Yes,Arts,1,5,7,1,Completed,Accepted
67,3.78,302,No,Information Systems,3,3,8,3,Not Started,Accepted
68,3.97,291,Yes,History,0,7,6,3,Completed,Accepted
69,2.92,279,Yes,Social Sciences,3,0,9,1,Completed,Rejected
70,3.12,328,Yes,Business,1,3,10,2,Completed,Accepted
71,3.66,319,No,Language,2,8,5,2,Completed,Accepted
72,3.51,318,No,Life Sciences,1,7,5,1,Not Started,Accepted
73,3.47,269,No,History,0,6,8,2,Not Started,Accepted
74,3.88,304,Yes,Life Sciences,4,0,4,1,Completed,Rejected
75,3.6,317,No,History,0,8,6,1,In Progress,Rejected
76,2.62,314,Yes,Business,1,5,9,3,Not Started,Accepted
77,2.96,289,Yes,Social Sciences,1,4,5,2,Not Started,Accepted
78,3.41,289,Yes,Business,1,1,10,1,Completed,Accepted
79,3.27,276,Yes,Language,1,7,6,1,In Progress,Rejected
80,3.39,303,No,Social Sciences,0,2,5,3,In Progress,Accepted
81,3.71,300,Yes,Social Sciences,3,4,6,3,Completed,Rejected
82,2.85,329,Yes,Social Sciences,5,8,5,2,Completed,Rejected
83,2.69,330,Yes,Social Sciences,1,7,10,3,Completed,Rejected
84,3.07,309,Yes,Social Sciences,4,1,10,1,Not Started,Accepted
85,3.04,294,No,Social Sciences,0,6,8,3,Completed,Accepted
86,3.51,280,Yes,Business,1,3,8,3,Not Started,Rejected
87,3.74,304,Yes,Communications,2,0,6,3,Completed,Rejected
88,3.9,307,Yes,Social Sciences,1,4,8,2,Completed,Accepted
89,3.76,308,Yes,History,3,1,6,1,Not Started,Accepted
90,3.92,318,No,Information Systems,4,2,4,1,Completed,Accepted
91,2.56,288,Yes,Social Sciences,3,4,9,3,In Progress,Accepted
92,3.18,296,Yes,Life Sciences,5,2,7,3,In Progress,Accepted
93,2.92,279,Yes,Information Systems,5,3,10,1,Not Started,Rejected
94,2.74,291,Yes,Social Sciences,3,2,9,3,Completed,Rejected
95,3.52,314,Yes,Life Sciences,4,2,7,2,Completed,Accepted
96,2.71,283,Yes,Arts,1,1,5,3,Completed,Accepted
97,3.02,314,Yes,Information Systems,2,8,6,3,Completed,Accepted
98,3.93,276,Yes,Social Sciences,2,8,7,1,Completed,Accepted
99,3.83,325,Yes,Information Systems,4,1,3,1,Completed,Rejected
100,3.66,331,Yes,Information Systems,2,7,10,2,Completed,Accepted
101,2.9,289,No,Social Sciences,2,1,10,3,Completed,Accepted
102,3.53,308,Yes,Life Sciences,3,8,4,1,In Progress,Rejected
103,3.28,340,No,Engineering,0,1,3,1,Completed,Accepted
104,3.93,275,Yes,Language,4,0,3,2,In Progress,Accepted
105,2.77,311,Yes,History,3,5,8,2,Not Started,Rejected
106,3.28,290,Yes,Engineering,5,4,6,1,Completed,Accepted
107,3.86,294,Yes,Social Sciences,5,6,7,1,In Progress,Rejected
108,3.02,315,Yes,Business,4,4,10,1,Not Started,Accepted
109,2.89,316,Yes,Communications,4,0,10,1,Completed,Accepted
110,3.5,301,Yes,Business,5,8,5,1,Completed,Rejected
111,3.67,309,No,Business,2,2,4,3,Completed,Accepted
112,2.69,307,Yes,Social Sciences,0,4,4,3,Completed,Accepted
113,2.92,279,Yes,Social Sciences,4,0,4,2,Completed,Accepted
114,3.26,305,No,Social Sciences,1,6,9,1,Not Started,Accepted
115,2.84,303,Yes,History,1,3,6,2,Completed,Accepted
116,3.9,310,Yes,Arts,5,3,8,2,Not Started,Accepted
117,3.31,309,Yes,Life Sciences,1,7,7,3,In Progress,Accepted
118,2.87,299,No,Arts,4,1,5,3,In Progress,Accepted
119,2.87,306,Yes,Business,2,1,5,1,Completed,Accepted
120,2.99,302,No,Business,2,3,4,1,Completed,Accepted
121,3.87,292,Yes,Communications,1,3,3,2,In Progress,Accepted
122,2.55,314,No,Language,4,6,8,2,In Progress,Rejected
123,2.73,296,Yes,Information Systems,1,6,4,2,Completed,Rejected
124,2.6,302,No,Social Sciences,5,3,8,3,In Progress,Accepted
125,2.58,294,Yes,Business,1,7,10,3,Completed,Accepted
126,3.43,300,Yes,Social Sciences,1,6,3,2,Completed,Accepted
127,3.74,299,Yes,Life Sciences,1,4,7,2,In Progress,Accepted
128,3.3,266,No,Business,0,0,8,3,In Progress,Accepted
129,3.24,310,Yes,Social Sciences,5,4,10,2,Completed,Accepted
130,3.61,300,Yes,Communications,5,0,6,1,Completed,Rejected
131,3.48,313,Yes,Information Systems,0,3,5,1,In Progress,Accepted
132,3.78,298,Yes,History,3,5,3,2,Completed,Rejected
133,3.64,310,Yes,Information Systems,3,0,5,3,Completed,Rejected
134,3.97,321,Yes,History,2,0,3,1,In Progress,Accepted
135,3.37,304,Yes,Social Sciences,0,1,8,2,Completed,Accepted
136,2.72,314,Yes,Business,2,3,6,1,In Progress,Accepted
137,3.1,280,Yes,Life Sciences,2,7,5,3,In Progress,Rejected
138,2.73,288,Yes,Social Sciences,1,4,7,1,Completed,Accepted
139,3.43,296,Yes,Business,1,2,4,2,Completed,Rejected
140,3.33,303,Yes,Communications,4,5,5,2,Completed,Rejected
141,3.13,293,Yes,Life Sciences,4,2,8,2,Not Started,Accepted
142,3.44,286,Yes,Business,2,8,3,1,Completed,Rejected
143,3.6,301,Yes,Information Systems,3,4,9,2,Completed,Accepted
144,2.87,292,Yes,Social Sciences,4,3,5,1,Completed,Accepted
145,3.49,280,No,Social Sciences,5,1,9,1,Completed,Accepted
146,3.55,312,Yes,Language,2,7,7,2,Completed,Accepted
147,2.77,304,No,History,4,4,10,2,In Progress,Rejected
148,2.79,297,Yes,Social Sciences,5,8,3,2,In Progress,Rejected
149,2.77,283,Yes,Information Systems,3,1,10,1,In Progress,Accepted
150,3.01,314,Yes,Life Sciences,1,7,8,3,Completed,Accepted
151,2.89,292,Yes,Life Sciences,1,2,7,3,Not Started,Rejected
152,3.87,291,Yes,Business,2,4,7,1,In Progress,Accepted
153,3.68,288,No,Life Sciences,2,2,7,3,Completed,Accepted
154,2.59,267,Yes,History,5,2,6,3,Completed,Rejected
155,2.91,290,Yes,Communications,5,6,3,3,In Progress,Rejected
156,2.66,287,Yes,Business,5,5,8,3,In Progress,Accepted
157,3.23,305,Yes,Information Systems,5,7,4,1,Completed,Accepted
158,3.95,305,Yes,Social Sciences,3,2,7,3,Completed,Rejected
159,2.76,297,Yes,Life Sciences,0,4,7,3,Completed,Accepted
160,3.63,290,Yes,Life Sciences,1,7,7,3,Completed,Accepted
161,2.91,300,Yes,Social Sciences,1,0,4,1,Completed,Accepted
162,2.86,285,Yes,Social Sciences,4,0,6,1,In Progress,Accepted
163,3.88,304,Yes,Information Systems,3,2,10,2,Completed,Accepted
164,3.1,292,Yes,Engineering,0,8,3,3,Completed,Accepted
165,2.91,276,Yes,Life Sciences,3,5,9,3,Completed,Rejected
166,2.61,300,Yes,Communications,0,1,7,2,In Progress,Accepted
167,3.34,304,Yes,Communications,2,7,4,2,In Progress,Accepted
168,3.51,316,Yes,Language,1,8,6,1,In Progress,Rejected
169,2.99,328,Yes,Business,1,8,5,3,In Progress,Accepted
170,2.74,307,Yes,Social Sciences,5,4,4,2,Completed,Accepted
171,3.76,311,Yes,Social Sciences,2,1,7,3,Completed,Accepted
172,3.85,286,Yes,Business,4,2,5,1,In Progress,Accepted
173,3.57,293,No,Business,4,4,6,1,Completed,Rejected
174,2.79,298,Yes,History,5,4,10,2,Completed,Accepted
175,2.61,317,Yes,Social Sciences,5,5,7,3,Completed,Rejected
176,3.83,301,Yes,Information Systems,5,7,3,3,Completed,Accepted
177,2.67,317,Yes,Business,5,3,5,2,Completed,Accepted
178,3.54,300,Yes,Language,3,6,4,2,Completed,Accepted
179,3.0,298,Yes,Life Sciences,3,8,9,1,In Progress,Accepted
180,3.57,310,Yes,Communications,2,8,5,2,Completed,Rejected
181,3.97,297,Yes,Business,3,8,9,1,Completed,Accepted
182,3.75,312,Yes,Communications,4,0,7,1,Not Started,Accepted
183,2.64,306,Yes,History,1,7,10,1,In Progress,Accepted
184,3.77,335,Yes,Communications,4,8,10,2,Completed,Accepted
185,3.87,290,Yes,Social Sciences,5,2,6,2,Completed,Rejected
186,3.16,292,Yes,Communications,3,2,6,3,Completed,Accepted
187,3.5,306,Yes,Business,4,2,6,3,Completed,Rejected
188,3.72,290,Yes,Social Sciences,1,5,9,3,Completed,Accepted
189,3.3,293,Yes,Engineering,4,6,8,3,Not Started,Accepted
190,2.55,300,Yes,Social Sciences,3,5,7,1,Completed,Accepted
191,3.74,295,Yes,Information Systems,1,7,4,2,In Progress,Accepted
192,3.79,278,Yes,Life Sciences,0,6,6,2,Completed,Accepted
193,3.3,292,Yes,Engineering,1,0,8,2,In Progress,Accepted
194,3.01,293,Yes,Social Sciences,5,2,7,1,Not Started,Rejected
195,3.53,258,Yes,Social Sciences,1,4,7,3,Completed,Accepted
196,3.78,304,Yes,Arts,5,6,7,1,In Progress,Accepted
197,3.03,296,Yes,History,1,8,7,3,In Progress,Accepted
198,2.77,300,Yes,Language,0,4,4,3,In Progress,Accepted
199,3.73,290,Yes,Arts,3,7,5,2,In Progress,Accepted
200,2.78,314,Yes,Language,3,1,6,3,In Progress,Accepted
201,3.48,299,Yes,Life Sciences,1,3,7,1,Completed,Accepted
202,3.01,323,No,Social Sciences,5,6,10,3,In Progress,Rejected
203,3.35,314,Yes,Business,0,1,10,2,In Progress,Rejected
204,3.28,308,Yes,Social Sciences,4,8,4,1,Completed,Rejected
205,2.84,302,Yes,Business,5,7,8,3,Completed,Accepted
206,3.71,282,No,Social Sciences,0,1,4,1,In Progress,Accepted
207,2.98,283,Yes,Information Systems,0,0,6,2,Completed,Accepted
208,3.88,299,Yes,History,5,5,9,3,Completed,Accepted
209,2.53,296,Yes,Communications,5,1,7,3,In Progress,Accepted
210,3.77,291,Yes,Information Systems,1,4,8,3,In Progress,Accepted
211,3.47,295,Yes,Communications,1,1,6,2,In Progress,Accepted
212,3.99,280,Yes,Information Systems,3,4,5,3,Completed,Accepted
213,2.87,297,Yes,Social Sciences,5,1,9,2,In Progress,Accepted
214,2.56,300,Yes,Life Sciences,4,2,10,3,In Progress,Rejected
215,3.99,294,Yes,Communications,0,6,5,2,In Progress,Accepted
216,2.5,291,Yes,Life Sciences,5,3,6,2,Not Started,Accepted
217,2.89,289,No,Engineering,0,0,6,2,Completed,Accepted
218,2.55,303,Yes,Social Sciences,4,8,4,1,Completed,Rejected
219,3.22,298,Yes,Social Sciences,4,5,7,1,In Progress,Accepted
220,3.72,305,Yes,Business,1,8,8,2,Completed,Accepted
221,3.77,294,Yes,Social Sciences,4,4,3,2,In Progress,Rejected
222,2.96,293,Yes,Communications,4,5,8,3,Not Started,Accepted
223,3.71,317,Yes,Social Sciences,0,5,7,1,Completed,Accepted
224,2.81,292,Yes,Business,5,3,7,2,In Progress,Accepted
225,2.66,301,Yes,History,3,4,3,3,Not Started,Accepted
226,3.36,312,Yes,Social Sciences,1,4,5,3,Completed,Rejected
227,3.33,301,Yes,Life Sciences,4,4,6,2,Completed,Accepted
228,3.24,330,No,Language,1,2,3,2,In Progress,Accepted
229,3.07,266,Yes,Communications,0,2,3,3,Completed,Rejected
230,2.82,325,Yes,Language,3,2,3,1,Completed,Accepted
231,3.24,274,Yes,Arts,2,1,9,1,Completed,Accepted
232,3.17,311,Yes,Social Sciences,4,8,5,3,Completed,Accepted
233,3.0,307,Yes,Language,2,2,4,1,Completed,Accepted
234,3.09,324,Yes,Social Sciences,2,6,4,3,In Progress,Accepted
235,2.67,295,Yes,Communications,4,4,5,3,In Progress,Accepted
236,3.37,299,No,Social Sciences,0,7,10,2,In Progress,Accepted
237,2.9,298,Yes,Communications,5,5,3,1,In Progress,Accepted
238,3.85,298,Yes,History,1,2,10,1,Completed,Accepted
239,2.97,292,Yes,Information Systems,0,0,9,1,In Progress,Accepted
240,3.18,312,Yes,Engineering,0,0,9,1,Completed,Accepted
241,3.84,292,No,Life Sciences,3,5,9,3,Completed,Accepted
242,3.34,297,Yes,Information Systems,2,2,8,3,Completed,Rejected
243,3.05,290,Yes,Social Sciences,5,8,4,2,Completed,Rejected
244,4.0,299,Yes,Business,5,4,5,3,Not Started,Rejected
245,3.8,301,Yes,Information Systems,2,8,8,1,In Progress,Accepted
246,3.92,299,Yes,Engineering,2,0,6,2,Completed,Accepted
247,3.4,274,Yes,Life Sciences,0,1,3,1,Completed,Accepted
248,3.52,283,Yes,Social Sciences,5,1,5,2,Completed,Rejected
249,2.67,308,Yes,Social Sciences,4,8,5,3,Completed,Rejected
250,3.01,311,Yes,Business,4,5,10,3,Completed,Accepted
251,3.54,304,Yes,Social Sciences,2,5,9,2,Completed,Rejected
252,3.47,322,No,Business,3,0,6,3,In Progress,Accepted
253,3.28,280,Yes,Social Sciences,3,0,10,1,In Progress,Accepted
254,3.21,284,Yes,Social Sciences,4,0,9,2,Completed,Accepted
255,3.79,286,Yes,Business,0,6,5,3,Completed,Rejected
256,2.96,300,No,Business,2,5,10,2,Completed,Accepted
257,2.88,304,Yes,Language,2,1,10,3,Completed,Accepted
258,3.46,300,Yes,Life Sciences,4,2,6,2,Completed,Accepted
259,2.52,305,Yes,Life Sciences,0,6,8,3,Completed,Accepted
260,3.53,284,Yes,Language,5,1,7,2,In Progress,Accepted
261,3.68,297,Yes,History,0,8,10,2,Completed,Rejected
262,2.69,305,Yes,Arts,0,7,3,1,In Progress,Rejected
263,3.13,264,Yes,Life Sciences,5,7,10,2,Not Started,Accepted
264,2.87,297,Yes,Social Sciences,3,1,3,2,Completed,Rejected
265,3.22,300,Yes,Social Sciences,3,8,7,3,In Progress,Rejected
266,3.1,306,Yes,Life Sciences,2,4,9,2,In Progress,Accepted
267,2.94,278,No,Business,2,1,6,2,Completed,Accepted
268,2.86,295,Yes,Communications,5,0,8,2,Completed,Accepted
269,3.34,275,Yes,History,0,1,8,2,Completed,Accepted
270,3.04,299,Yes,Life Sciences,1,8,6,1,In Progress,Accepted
271,3.6,307,Yes,Social Sciences,0,1,9,1,In Progress,Rejected
272,3.02,291,Yes,Business,4,1,4,1,In Progress,Rejected
273,2.82,290,Yes,Social Sciences,4,4,7,3,Completed,Accepted
274,2.66,287,Yes,History,4,4,10,2,Completed,Accepted
275,2.95,276,Yes,Information Systems,3,7,7,1,Completed,Rejected
276,3.35,301,Yes,Language,5,2,8,1,In Progress,Rejected
277,2.52,285,Yes,Social Sciences,5,5,6,1,In Progress,Rejected
278,3.06,300,Yes,Communications,5,8,10,2,Completed,Accepted
279,2.71,277,Yes,Information Systems,0,8,6,3,Completed,Accepted
280,3.06,311,Yes,Communications,0,0,4,1,Completed,Accepted
281,3.14,313,Yes,Business,3,0,7,3,In Progress,Accepted
282,3.4,258,Yes,Engineering,1,0,7,2,Completed,Accepted
283,2.81,309,Yes,Communications,2,1,8,1,Completed,Accepted
284,2.85,303,Yes,Life Sciences,4,3,4,2,Not Started,Rejected
285,3.04,281,Yes,Engineering,3,6,6,1,In Progress,Accepted
286,3.33,302,Yes,Social Sciences,1,3,6,3,Completed,Accepted
287,3.75,315,Yes,Social Sciences,2,8,3,3,Completed,Rejected
288,3.17,288,Yes,Business,1,0,10,2,Completed,Accepted
289,3.93,310,Yes,Information Systems,1,0,8,2,Completed,Accepted
290,2.91,299,Yes,Life Sciences,1,0,5,2,Completed,Accepted
291,3.05,312,Yes,Business,5,6,4,2,In Progress,Accepted
292,3.57,332,Yes,Communications,1,5,7,3,Completed,Accepted
293,2.61,307,Yes,Engineering,0,2,6,2,In Progress,Rejected
294,3.3,312,Yes,Business,1,5,8,3,Completed,Rejected
295,3.9,318,Yes,Social Sciences,1,6,5,3,Completed,Accepted
296,2.63,309,Yes,Communications,0,2,5,1,Completed,Accepted
297,3.6,323,Yes,Social Sciences,3,3,4,1,Completed,Accepted
298,3.38,288,Yes,Business,1,1,5,3,In Progress,Accepted
299,3.6,311,Yes,Life Sciences,2,8,6,3,In Progress,Rejected
300,2.8,288,Yes,Communications,2,6,3,1,Completed,Rejected
301,2.73,298,Yes,Language,4,4,8,3,Completed,Accepted
302,3.53,292,Yes,Life Sciences,2,3,7,2,Completed,Accepted
303,3.16,308,Yes,Information Systems,0,2,7,1,Completed,Rejected
304,3.24,311,Yes,Business,2,8,10,2,Completed,Accepted
305,3.9,288,No,Business,5,2,5,1,Completed,Accepted
306,2.63,314,No,Life Sciences,4,1,7,3,Completed,Accepted
307,3.14,279,Yes,Social Sciences,5,0,10,2,Completed,Accepted
308,3.94,308,Yes,Arts,3,3,4,2,In Progress,Accepted
309,2.96,321,No,Life Sciences,1,4,5,1,In Progress,Rejected
310,3.68,292,Yes,Language,3,0,5,2,Not Started,Rejected
311,3.28,308,Yes,Life Sciences,0,0,5,3,Completed,Accepted
312,3.14,296,Yes,History,2,3,4,1,Completed,Rejected
313,2.63,302,Yes,Language,3,2,7,2,In Progress,Accepted
314,3.01,308,Yes,Communications,2,0,3,2,Completed,Accepted
315,2.92,319,Yes,Business,0,2,3,1,Not Started,Accepted
316,3.09,289,Yes,Communications,4,0,8,2,In Progress,Accepted
317,3.97,315,Yes,Social Sciences,1,4,4,3,Completed,Rejected
318,2.57,304,Yes,Engineering,4,4,7,3,Completed,Rejected
319,2.98,304,Yes,History,0,6,3,2,Completed,Rejected
320,3.91,286,Yes,Social Sciences,5,6,6,2,Completed,Rejected
321,2.52,285,No,Business,3,6,5,3,Completed,Rejected
322,2.62,299,Yes,Business,3,2,9,2,In Progress,Accepted
323,3.28,322,Yes,Social Sciences,4,0,8,3,In Progress,Rejected
324,3.73,300,Yes,Business,5,3,8,2,In Progress,Rejected
325,3.55,308,Yes,Information Systems,2,7,9,2,Completed,Accepted
326,2.57,329,Yes,Information Systems,3,1,10,3,In Progress,Accepted
327,2.72,299,Yes,Social Sciences,1,5,5,3,In Progress,Rejected
328,3.87,289,Yes,Business,1,5,3,3,Completed,Rejected
329,2.69,316,No,History,1,2,7,3,Completed,Accepted
330,2.93,277,Yes,Social Sciences,4,1,10,1,Not Started,Accepted
331,3.2,299,Yes,Business,0,1,6,1,Completed,Accepted
332,2.63,269,Yes,History,3,5,3,1,Completed,Accepted
333,2.78,269,Yes,Life Sciences,0,6,4,1,In Progress,Accepted
334,3.48,321,Yes,Social Sciences,2,0,6,2,Not Started,Accepted
335,3.9,291,No,Life Sciences,0,6,3,2,In Progress,Rejected
336,3.77,286,Yes,Social Sciences,3,2,7,2,Completed,Rejected
337,2.92,306,Yes,Social Sciences,4,0,3,3,In Progress,Rejected
338,2.6,323,Yes,Social Sciences,1,6,5,3,Not Started,Accepted
339,3.36,319,Yes,Information Systems,2,5,7,1,In Progress,Accepted
340,2.65,308,Yes,Business,2,6,10,1,In Progress,Rejected
341,2.52,304,Yes,Language,1,8,9,3,In Progress,Rejected
342,2.69,306,Yes,Communications,3,1,9,3,Completed,Rejected
343,2.64,304,Yes,Social Sciences,3,1,5,2,Not Started,Accepted
344,3.1,298,Yes,History,2,2,10,1,In Progress,Rejected
345,3.73,294,No,Social Sciences,1,3,9,2,Completed,Accepted
346,3.42,283,Yes,Life Sciences,0,1,3,2,Completed,Rejected
347,2.79,299,Yes,Business,1,3,3,3,Completed,Accepted
348,3.79,307,Yes,Arts,5,3,6,1,Completed,Accepted
349,3.9,283,Yes,Social Sciences,4,7,5,3,Completed,Accepted
350,3.69,299,Yes,Business,5,7,5,3,In Progress,Accepted
351,2.55,293,Yes,Social Sciences,3,4,5,2,Not Started,Accepted
352,2.67,326,Yes,Arts,0,0,9,1,Completed,Accepted
353,2.94,305,Yes,Social Sciences,1,7,4,2,Not Started,Accepted
354,3.5,316,Yes,Business,1,8,9,3,Completed,Accepted
355,3.74,346,Yes,Communications,1,0,10,3,Completed,Accepted
356,3.8,277,Yes,Business,4,7,9,3,Completed,Accepted
357,2.83,325,Yes,Business,0,6,9,2,Completed,Accepted
358,3.4,313,Yes,Social Sciences,4,1,3,2,Completed,Accepted
359,3.0,293,No,Information Systems,4,3,5,2,Completed,Rejected
360,2.78,296,Yes,Business,0,0,10,3,Completed,Accepted
361,3.57,263,Yes,Social Sciences,4,0,10,3,In Progress,Accepted
362,2.84,300,No,History,4,2,6,1,In Progress,Accepted
363,3.52,318,Yes,Social Sciences,5,1,8,2,In Progress,Rejected
364,3.08,286,Yes,Life Sciences,2,2,9,2,Completed,Accepted
365,2.58,294,Yes,Business,5,5,9,2,In Progress,Accepted
366,3.66,287,Yes,Social Sciences,5,8,7,2,Not Started,Accepted
367,3.56,315,Yes,Business,3,4,9,1,In Progress,Accepted
368,3.35,316,Yes,History,5,6,9,2,In Progress,Rejected
369,3.7,312,Yes,Social Sciences,4,7,10,1,In Progress,Accepted
370,2.57,315,Yes,Engineering,0,3,7,2,In Progress,Accepted
371,3.34,298,Yes,Business,1,4,8,3,In Progress,Rejected
372,3.18,318,Yes,Information Systems,3,8,3,1,Completed,Accepted
373,3.77,284,Yes,Social Sciences,2,6,5,1,In Progress,Accepted
374,3.39,296,Yes,Communications,4,7,7,2,Completed,Rejected
375,3.61,310,Yes,Arts,0,0,9,2,Completed,Accepted
376,2.99,287,Yes,Social Sciences,0,1,4,2,In Progress,Rejected
377,3.98,297,Yes,Business,1,1,8,1,Not Started,Accepted
378,3.9,316,Yes,Business,0,2,5,2,Completed,Accepted
379,3.59,315,Yes,Communications,1,4,6,1,In Progress,Accepted
380,3.9,305,Yes,Arts,3,0,6,3,Completed,Accepted
381,3.82,288,Yes,Information Systems,2,4,9,3,Completed,Accepted
382,2.8,296,Yes,Social Sciences,3,5,6,2,Completed,Accepted
383,3.43,308,Yes,Business,1,6,10,1,Completed,Accepted
384,3.4,317,Yes,Life Sciences,0,5,7,2,In Progress,Accepted
385,3.15,281,No,Business,4,2,5,3,In Progress,Accepted
386,2.59,309,Yes,Social Sciences,4,7,10,1,Not Started,Rejected
387,3.06,306,Yes,Information Systems,2,5,4,3,Completed,Accepted
388,3.84,298,Yes,Social Sciences,2,7,5,2,In Progress,Accepted
389,2.67,295,Yes,History,2,6,4,2,Completed,Accepted
390,3.91,301,Yes,Life Sciences,2,3,4,3,Completed,Accepted
391,3.58,281,Yes,Information Systems,4,2,7,3,In Progress,Accepted
392,2.57,306,Yes,History,2,1,6,2,Completed,Accepted
393,3.37,303,Yes,Business,3,7,5,3,In Progress,Accepted
394,2.52,303,Yes,Life Sciences,5,2,7,3,In Progress,Accepted
395,2.9,301,Yes,Language,1,4,9,1,Completed,Rejected
396,3.75,334,Yes,Life Sciences,4,6,9,2,Completed,Accepted
397,3.38,298,No,Information Systems,3,7,9,2,Completed,Accepted
398,2.71,318,Yes,Business,0,6,4,2,Completed,Accepted
399,2.92,302,Yes,Business,1,7,7,2,Completed,Rejected
400,3.41,316,Yes,Business,0,6,8,3,Not Started,Accepted
401,3.89,310,Yes,Engineering,0,7,4,2,Completed,Rejected
402,2.77,303,Yes,Life Sciences,3,7,9,3,Completed,Rejected
403,3.71,311,Yes,Communications,3,2,3,2,Completed,Rejected
404,3.68,290,Yes,Business,0,7,4,2,In Progress,Accepted
405,3.5,317,Yes,Information Systems,3,7,9,2,In Progress,Accepted
