id,gender,age,annual_income,spending_score,perf_shop_meth,member_level
58,Female,83,49106.96,36,Online,none
59,Male,80,53082.28,47,InStore,silver
60,Male,68,30161.11,73,InStore,gold
61,Male,71,45933.41,86,InStore,silver
62,Polygender,41,18321.69,42,InStore,platinum
63,Female,76,43395.98,42,InStore,silver
64,Male,39,41466.39,81,InStore,silver
65,Female,36,37723.63,44,BOPS,silver
66,Female,34,50332,43,InStore,none
67,Agender,30,52300,91,Online,silver
68,Male,21,59007.88,52,InStore,silver
69,Male,32,103590.41,61,InStore,platinum
70,Female,37,50536.45,46,InStore,gold
71,Male,78,31943.31,64,InStore,silver
72,Female,56,81728.72,69,Online,silver
73,Male,45,87575.67,68,InStore,none
74,Male,23,31210.35,76,Online,none
75,Male,46,96170.38,45,Online,gold
76,Male,20,27990.8,53,Online,silver
77,Female,63,59171.55,48,Online,gold
78,Female,79,54430.41,42,InStore,none
79,Female,83,90138.58,56,InStore,none
80,Female,30,69590.58,77,InStore,silver
81,Male,22,7881.33,35,InStore,silver
82,Female,83,70695.22,55,Online,platinum
83,Male,36,63128.02,55,Online,gold
84,Male,79,95666.31,39,InStore,none
85,Female,58,63720.33,77,InStore,silver
86,Female,25,79155.22,64,InStore,none
87,Female,32,42493.11,46,InStore,silver
88,Male,48,76742.4,78,BOPS,none
89,Male,38,82773.44,91,Online,none
90,Female,58,79697.18,65,InStore,platinum
91,Male,42,52489.45,39,InStore,gold
92,Non-binary,81,48510.62,49,InStore,silver
93,Male,19,31556.11,77,BOPS,silver
94,Male,52,82040,77,InStore,none
95,Female,45,75228.9,81,InStore,silver
96,Male,31,67558.1,78,InStore,gold
97,Genderqueer,62,74011.67,81,Online,silver
98,Bigender,20,34107.2,88,InStore,none
99,Male,82,45830.23,71,Online,platinum
100,Male,40,49806.64,41,InStore,none
101,Female,75,46736.76,93,BOPS,silver
102,Genderqueer,45,-995.35,91,InStore,none
103,Male,62,42787.23,43,InStore,none
104,Female,51,53206.13,43,InStore,silver
105,Male,44,79554.17,59,InStore,none
106,Female,23,76421,90,BOPS,platinum
107,Male,74,42739.37,57,Online,none
108,Female,73,58958.93,92,InStore,none
109,Male,49,63322.68,87,Online,silver
110,Female,33,37058.46,82,InStore,silver
111,Female,23,32691.42,40,InStore,none
112,Female,67,48491.47,59,InStore,silver
113,Male,79,71667.17,36,Online,none
114,Male,31,24914.44,46,Online,silver
115,Female,22,21091.62,59,InStore,gold
116,Female,18,7878.07,58,InStore,gold
117,Bigender,44,54328.78,82,Online,gold
118,Female,69,62097.81,42,Online,silver
119,Female,40,74877.93,61,Online,none
120,Female,48,48163.67,36,InStore,gold
121,Male,30,65874.48,46,InStore,silver
122,Male,67,48164.76,61,BOPS,none
123,Male,23,46315.01,40,Online,none
124,Male,51,51189.83,42,Online,none
125,Male,70,19269.81,38,InStore,silver
126,Female,80,2656.16,65,InStore,none
127,Female,66,32611.54,64,Online,silver
128,Female,20,86663.22,75,InStore,none
129,Female,73,48795.51,53,Online,none
130,Polygender,56,80548.12,64,BOPS,none
131,Male,64,63911.11,41,Online,none
132,Female,80,61182.54,47,InStore,none
133,Male,83,69757.75,36,InStore,gold
134,Female,21,65648.39,92,Online,none
135,Male,63,76180.07,93,BOPS,gold
136,Male,21,69061.9,85,Online,none
137,Female,61,76991.53,65,InStore,gold
138,Female,51,64794.8,81,InStore,none
139,Polygender,23,64812.64,60,InStore,gold
140,Male,44,90139.99,63,Online,platinum
141,Male,47,48566.08,49,Online,none
142,Male,42,31669.68,92,Online,none
143,Polygender,59,19108.34,91,Online,none
144,Female,45,59054.24,44,InStore,none
145,Male,19,23606.99,45,InStore,silver
146,Female,63,87723.43,46,InStore,platinum
147,Agender,79,37121.55,89,InStore,none
148,Female,79,80530.23,40,InStore,none
149,Female,58,91605.07,56,Online,gold
150,Female,69,102376.75,39,InStore,gold
151,Male,58,22229.26,92,Online,none
152,Female,41,23611.5,46,Online,silver
153,Female,78,38481.43,55,InStore,none
154,Bigender,21,59863.95,82,Online,none
155,Genderqueer,53,88357.47,92,Online,silver
156,Female,63,76986.44,67,BOPS,silver
157,Male,58,41431.39,67,InStore,platinum
158,Male,74,55397.41,70,InStore,none
159,Female,19,69905.97,51,InStore,none
160,Female,19,41314.88,48,InStore,silver
161,Female,51,73821.13,66,Online,platinum
162,Male,18,44967.83,39,Online,none
163,Male,28,27216.06,90,InStore,silver
164,Male,67,71786.92,87,Online,none
165,Female,54,68751.46,63,InStore,silver
166,Female,68,-14212.89,65,Online,silver
167,Male,64,66668.89,57,InStore,silver
168,Male,18,55064.96,69,InStore,none
169,Male,78,53191.59,44,Online,none
170,Male,29,114550.71,36,InStore,gold
171,Female,22,36420.46,54,InStore,none
172,Male,73,29637.33,69,InStore,silver
173,Female,38,68000.95,39,Online,silver
174,Female,76,44679.22,46,Online,silver
175,Female,77,121884.64,62,InStore,gold
176,Male,37,57102.12,38,BOPS,none
177,Female,73,38207.39,41,InStore,none
178,Male,82,58947.08,63,InStore,silver
179,Female,69,69714.07,50,InStore,silver
180,Female,25,6922.44,72,InStore,none
181,Female,58,104230.56,70,Online,none
182,Male,81,49519.99,92,InStore,silver
183,Female,44,69222.01,73,Online,none
184,Female,78,76432,52,Online,gold
185,Female,50,73213.89,80,InStore,none
186,Female,55,40428.03,62,InStore,none
187,Female,40,59963.88,61,InStore,none
188,Female,80,70939,79,InStore,none
189,Female,43,24032.62,84,InStore,none
190,Female,75,38376.64,58,InStore,none
191,Bigender,56,36673.93,75,Online,gold
192,Male,40,58102.36,87,InStore,silver
193,Female,22,79110.53,40,InStore,none
194,Male,77,79173.24,68,Online,platinum
195,Female,21,26319.92,43,InStore,none
196,Male,75,82763.41,68,InStore,none
197,Female,39,59454.99,84,InStore,silver
198,Genderqueer,23,75232.37,42,Online,gold
199,Female,75,95476.24,56,Online,gold
200,Male,82,35782.48,36,InStore,none
201,Female,63,56054.39,73,Online,silver
202,Male,71,58585.22,50,Online,none
203,Male,48,63520.63,63,Online,silver
204,Female,53,38892.05,56,InStore,none
205,Male,41,73007.74,69,Online,none
206,Male,23,66971.69,90,Online,none
207,Genderfluid,36,45908.14,63,InStore,none
208,Male,72,58695.54,63,InStore,none
209,Male,34,22341.99,88,InStore,none
210,Male,62,-19190.17,75,InStore,none
211,Male,42,72251.65,35,InStore,gold
212,Female,26,78087.5,88,InStore,silver
213,Female,63,88507.97,60,InStore,none
214,Female,56,59077.01,55,Online,none
215,Male,29,86853.28,53,InStore,none
216,Male,24,36761.67,76,InStore,none
217,Female,75,57233.7,62,InStore,silver
218,Male,67,54499.15,65,InStore,none
219,Female,82,54789.92,59,InStore,none
220,Female,30,19662.16,88,InStore,silver
221,Non-binary,76,44427.2,68,InStore,none
222,Male,19,73307.41,43,InStore,platinum
223,Female,80,82485.14,39,InStore,none
224,Male,51,53810.26,93,InStore,silver
225,Female,57,40731.42,77,InStore,silver
226,Non-binary,75,37854.35,42,InStore,none
227,Female,56,50874.02,84,InStore,silver
228,Male,37,95406.2,80,InStore,silver
229,Bigender,29,40345.12,63,InStore,none
230,Female,83,11558.28,72,Online,silver
231,Female,82,63924.06,43,InStore,silver
232,Female,71,-7980.41,77,Online,silver
233,Male,27,74721.76,91,InStore,none
234,Male,50,61382.5,78,Online,none
235,Male,21,57697.92,71,Online,gold
236,Female,27,50370.71,79,InStore,silver
237,Agender,53,63524.57,80,InStore,none
238,Female,80,57164.48,80,InStore,none
239,Female,49,23709.83,49,InStore,none
240,Male,49,-4315.66,41,Online,platinum
241,Male,50,58201.21,80,Online,none
242,Male,64,70343.1,46,InStore,none
243,Female,51,55280.13,86,InStore,gold
244,Female,32,18373.47,80,Online,none
245,Non-binary,73,48670.24,85,Online,none
246,Female,44,34720.42,72,BOPS,none
247,Male,37,52894.89,54,InStore,gold
248,Male,68,89936.43,82,InStore,gold
249,Female,76,45778.7,91,BOPS,none
250,Female,74,67235.96,57,InStore,none
251,Male,75,47075.9,73,InStore,none
252,Female,44,82951.36,71,Online,silver
253,Male,34,35568.48,80,Online,none
254,Male,72,63024.45,65,InStore,silver
255,Male,81,59829.95,39,Online,none
256,Female,45,51260,74,InStore,gold
257,Male,61,27273.79,86,Online,silver
258,Male,29,61369.6,77,Online,none
259,Male,77,45792.39,42,Online,none
260,Male,32,43408,59,Online,silver
261,Male,22,111712.76,89,InStore,silver
262,Female,75,95470,70,InStore,none
263,Male,69,24791.29,39,InStore,silver
264,Genderfluid,77,82061.44,87,Online,none
265,Polygender,48,65703.81,90,InStore,none
266,Male,56,49657.06,80,InStore,none
267,Female,25,51990.03,91,InStore,none
268,Female,67,43764.39,46,InStore,none
269,Female,30,26914.57,51,InStore,gold
270,Female,71,29434.64,70,Online,silver
271,Non-binary,52,53950.36,91,Online,silver
272,Female,45,85151.6,65,InStore,none
273,Female,68,50591.88,74,InStore,gold
274,Male,52,57853.83,88,Online,gold
275,Male,39,13053.87,74,Online,none
276,Male,82,29922.46,66,InStore,none
277,Male,34,69966.01,36,InStore,platinum
278,Male,58,43904.06,77,Online,none
279,Female,25,100139.76,78,Online,none
280,Female,35,78187.55,58,Online,gold
281,Female,35,53994.87,41,InStore,silver
282,Female,33,71430.33,58,InStore,gold
283,Female,67,79517.5,69,Online,silver
284,Male,20,52883.47,82,BOPS,none
285,Female,71,53594.63,62,InStore,gold
286,Female,72,80302.97,48,InStore,platinum
287,Male,66,85346.27,59,InStore,none
288,Male,54,101056.32,41,Online,none
289,Female,34,23646.08,85,Online,none
290,Male,18,59743.15,55,InStore,gold
291,Male,77,57773.32,70,Online,none
292,Male,75,65084.43,66,Online,none
293,Female,29,67605.59,49,InStore,none
294,Male,22,51104.1,67,Online,silver
295,Female,81,36393.81,44,InStore,none
296,Female,80,63565.08,65,Online,none
297,Male,49,59221.13,89,InStore,none
298,Male,63,49299.74,71,Online,none
299,Male,81,74253.09,66,InStore,none
300,Male,78,26954.4,51,InStore,silver
301,Male,58,37567.07,79,BOPS,none
302,Female,51,70251.36,46,Online,none
303,Female,78,52804.11,75,Online,none
304,Female,48,22766.15,56,InStore,none
305,Male,25,64436.13,74,InStore,silver
306,Female,52,67936.79,82,InStore,silver
307,Female,35,97684.49,43,Online,none
308,Polygender,58,54783.07,84,Online,silver
309,Agender,58,35882.66,57,InStore,none
310,Male,54,74499.64,81,BOPS,none
311,Male,57,49247.78,84,InStore,none
312,Male,53,89768.08,53,InStore,silver
313,Male,66,73334.61,63,InStore,platinum
314,Male,55,47434.55,36,Online,none
315,Female,64,52605.46,63,Online,gold
316,Male,77,66537.17,67,Online,none
317,Male,76,49816.03,67,Online,none
318,Female,75,2540.93,67,InStore,none
319,Female,37,75731.85,52,InStore,none
320,Female,33,21279.9,94,BOPS,none
321,Female,52,71953.38,80,InStore,none
322,Male,28,64661.45,56,Online,none
323,Female,63,60345.32,67,InStore,none
324,Male,78,44894.18,39,InStore,silver
325,Male,50,49294.79,75,InStore,gold
326,Genderqueer,45,68841.79,86,InStore,gold
327,Male,45,50902.17,76,Online,silver
328,Female,66,39048.2,46,InStore,none
329,Male,50,79201.48,45,InStore,none
330,Female,51,53287.84,45,Online,none
331,Female,36,70061.9,69,Online,gold
332,Male,43,42141.6,77,Online,none
333,Genderfluid,33,87120.34,35,Online,silver
334,Male,21,64453.24,76,InStore,gold
335,Female,50,47367.6,89,InStore,silver
336,Male,82,55872.63,47,InStore,none
337,Male,28,34220.83,41,InStore,silver
338,Male,49,34931.82,56,InStore,none
339,Genderfluid,68,71090.18,55,Online,gold
340,Female,52,63743.25,67,InStore,none
341,Female,49,84890.83,79,InStore,silver
342,Non-binary,82,61579.35,86,Online,none
343,Female,44,55548,39,Online,silver
344,Male,48,60340.25,42,InStore,silver
345,Male,80,35988.07,78,InStore,none
346,Female,50,20990.9,60,InStore,silver
347,Female,46,115055.08,68,InStore,none
348,Female,56,101165.89,94,Online,silver
349,Male,71,85894.63,71,InStore,silver
350,Male,72,64248.5,87,InStore,silver
351,Genderfluid,48,39360.21,85,Online,none
352,Female,75,29103.58,51,InStore,gold
353,Female,48,76199.49,88,Online,none
354,Female,25,31368.9,45,InStore,none
355,Female,36,100688.3,84,Online,platinum
356,Female,72,32678,66,Online,gold
357,Male,65,56472.44,90,InStore,none
358,Female,50,83677.43,39,Online,gold
359,Male,71,22872.86,47,BOPS,silver
360,Female,47,28859.42,48,InStore,gold
361,Male,40,67350.82,90,Online,gold
362,Female,36,98063.59,48,InStore,none
363,Male,57,59861.45,54,InStore,none
364,Male,33,108962.81,70,InStore,none
365,Male,30,105407.81,86,Online,silver
366,Female,78,56326.46,87,InStore,silver
367,Female,67,40105.27,94,Online,silver
368,Male,49,46889.11,69,Online,none
369,Male,20,29043.54,50,InStore,gold
370,Female,49,49226.01,68,Online,none
371,Male,68,76828.39,55,InStore,silver
372,Male,22,71411.26,89,Online,silver
373,Female,66,52096.19,88,Online,none
374,Genderfluid,23,45943.83,81,Online,gold
375,Male,51,39743.59,70,InStore,gold
376,Female,55,62659.09,43,InStore,none
377,Female,20,25863.76,54,Online,silver
378,Female,29,66039.05,93,InStore,none
379,Male,30,60789.09,53,Online,silver
380,Female,63,56391.88,93,Online,silver
381,Female,67,76563.46,64,InStore,none
382,Female,43,37871.94,50,InStore,none
383,Genderfluid,57,44226.15,48,Online,gold
384,Female,51,32972.13,44,InStore,platinum
385,Female,25,6071.3,42,Online,silver
386,Female,77,58589.04,93,InStore,silver
387,Male,40,73033.14,39,InStore,silver
388,Male,57,91953.72,89,Online,none
389,Female,37,76929.09,80,Online,silver
390,Female,30,72061.95,56,InStore,gold
391,Female,51,75660.55,77,InStore,silver
392,Female,51,37039.5,70,InStore,gold
393,Male,71,58941.03,73,InStore,silver
394,Male,41,37503.3,76,InStore,gold
395,Male,60,58114.46,78,InStore,none
396,Male,60,63614.74,83,InStore,none
397,Female,47,76654.65,65,Online,none
398,Female,76,44312.36,36,InStore,none
399,Female,20,34978.88,58,InStore,silver
400,Male,67,43603.88,83,InStore,gold
401,Female,67,87332.16,80,InStore,gold
402,Male,19,78551.37,89,InStore,platinum
403,Female,22,44148.25,60,InStore,none
404,Female,31,42465.08,39,InStore,silver
405,Male,77,79913.62,45,Online,none
406,Female,42,48372.51,77,InStore,none
407,Genderfluid,72,61025.88,54,BOPS,none
408,Male,18,59827.71,59,Online,silver
409,Male,39,23635.61,69,InStore,none
410,Male,28,60241.21,65,InStore,none
411,Male,70,67290.92,63,Online,none
412,Female,53,12049.92,94,InStore,none
413,Male,25,68522.77,76,InStore,none
414,Female,33,75447.31,83,Online,none
415,Male,23,66299.46,45,InStore,none
416,Male,29,48432.72,93,InStore,none
417,Male,32,50600.95,54,Online,gold
418,Male,24,29592.83,63,InStore,none
419,Male,42,71853.86,53,InStore,none
420,Male,20,43633.33,76,InStore,silver
421,Female,49,53252.33,63,InStore,silver
422,Male,57,21001.49,35,Online,none
423,Female,21,41751.17,69,InStore,none
424,Female,37,76315.76,93,Online,none
425,Male,63,40725.95,45,Online,platinum
426,Female,29,45635.42,42,InStore,none
427,Female,76,89620.83,66,BOPS,none
428,Female,78,84484.93,94,InStore,platinum
429,Female,55,38074.63,41,InStore,silver
430,Female,41,8463.9,58,InStore,none
431,Female,32,84233.69,54,InStore,silver
432,Female,22,86453.83,65,InStore,gold
433,Male,61,72737.17,71,InStore,none
434,Female,27,62193.86,69,InStore,silver
435,Male,60,68103.98,43,Online,none
436,Non-binary,77,12237.37,46,InStore,none
437,Polygender,73,89786.8,69,Online,none
438,Genderqueer,43,95169.43,47,InStore,none
439,Male,75,62438.15,62,Online,gold
440,Non-binary,22,18468.73,61,BOPS,none
441,Male,43,42997.61,36,InStore,none
442,Female,55,99779.3,71,InStore,gold
443,Female,83,76917.11,93,InStore,none
444,Male,49,77244.35,53,InStore,none
445,Male,57,48404.23,51,InStore,none
446,Male,65,37106.3,66,InStore,platinum
447,Male,48,41227.31,45,Online,none
448,Male,23,57415.58,60,BOPS,silver
449,Male,73,74856.81,39,Online,none
450,Genderfluid,27,65557.02,91,InStore,silver
451,Male,50,64557.66,89,InStore,gold
452,Female,68,20598.94,67,InStore,none
453,Male,66,81827.22,45,InStore,gold
454,Female,27,62202.06,51,Online,none
455,Male,71,69106.88,48,Online,none
456,Female,81,2965.82,88,Online,silver
457,Genderqueer,31,83625.76,69,Online,none
458,Female,78,44522.31,73,InStore,none
459,Male,62,41740.57,69,InStore,none
460,Male,47,36421.5,75,InStore,gold
461,Male,64,68879.87,49,InStore,gold
462,Female,55,56062.03,51,Online,silver
463,Male,57,97315.07,81,Online,none
464,Male,78,41365.5,49,InStore,silver
465,Female,74,75016.87,81,Online,none
466,Female,63,49331.66,67,InStore,silver
467,Female,52,22734.08,47,Online,none
468,Female,19,56465.55,39,InStore,silver
469,Genderqueer,24,21973.04,57,InStore,silver
470,Female,60,52532.16,82,InStore,silver
471,Female,19,23993.35,50,InStore,gold
472,Female,69,57423.84,85,InStore,silver
473,Male,71,2935.1,60,InStore,none
474,Male,29,37227.78,56,InStore,silver
475,Male,78,73722.2,41,Online,none
476,Male,44,45212.79,94,InStore,none
477,Male,73,50799.54,56,Online,silver
478,Male,78,82894.9,53,InStore,gold
479,Female,77,63388.53,52,InStore,silver
480,Male,46,49606.96,35,Online,silver
481,Male,81,26546.01,59,Online,silver
482,Male,49,41328.14,44,InStore,none
483,Female,68,39212.56,38,InStore,none
484,Male,39,100738.24,90,Online,none
485,Female,64,91207.73,91,InStore,none
486,Female,73,46708.74,92,InStore,none
487,Female,68,60227.39,81,Online,none
488,Male,42,55516.33,53,InStore,none
489,Male,64,-1718.07,67,InStore,none
490,Male,58,48505.52,73,InStore,silver
491,Female,19,72047.93,92,InStore,silver
492,Female,29,44361.68,49,Online,silver
493,Male,69,108292.48,43,Online,none
494,Female,82,43228.31,68,Online,none
495,Female,43,37434.97,86,InStore,none
496,Female,54,49339.53,88,BOPS,silver
497,Female,27,52050.07,37,InStore,none
498,Male,41,59483,73,InStore,silver
499,Male,76,53563.84,89,InStore,none
500,Male,43,44949.34,89,Online,silver
501,Female,27,96842.55,54,InStore,silver
502,Female,41,50103.76,61,Online,none
503,Female,49,52097.29,44,BOPS,none
504,Female,54,69401.91,73,Online,platinum
505,Male,66,121022.72,84,InStore,none
506,Male,73,63989.86,82,Online,none
507,Female,56,59811.04,92,InStore,none
508,Female,27,59000.08,87,InStore,none
509,Female,66,76277.11,67,InStore,none
510,Male,35,70596.28,53,Online,none
511,Male,20,64437.93,69,InStore,none
512,Male,71,48186.11,38,InStore,none
513,Male,26,25596.78,90,InStore,silver
514,Bigender,76,32862.54,50,InStore,none
515,Female,70,28323.51,73,Online,silver
516,Male,39,50452.15,91,BOPS,none
517,Female,36,78974.87,78,Online,platinum
518,Male,65,60249.81,49,Online,gold
519,Female,63,20720.57,50,InStore,silver
520,Male,65,67616.25,41,InStore,none
521,Male,55,58482.86,59,Online,silver
522,Male,40,34310.5,59,Online,none
523,Male,36,31032.47,56,InStore,silver
524,Female,71,48130.51,87,InStore,none
525,Male,56,46684.66,42,InStore,silver
526,Female,51,38938.91,67,InStore,none
527,Female,83,43827.13,41,InStore,none
528,Female,18,105138.85,94,Online,none
529,Male,43,49816.04,53,Online,none
530,Female,44,32631.29,86,InStore,gold
531,Female,52,74743.69,87,InStore,none
532,Male,38,29751.81,39,InStore,silver
533,Female,73,110237.6,72,Online,none
534,Female,82,56575.23,61,InStore,none
535,Bigender,32,51209.45,60,InStore,none
536,Female,67,52638.98,73,InStore,gold
537,Male,69,50872.28,68,InStore,none
538,Female,78,50366.1,58,InStore,gold
539,Agender,22,59067.66,70,InStore,none
540,Male,82,78618,78,Online,silver
541,Male,36,58722.98,72,InStore,none
542,Female,76,34463.42,59,InStore,none
543,Genderqueer,64,44508.56,57,InStore,none
544,Male,57,48917.94,56,InStore,gold
545,Female,37,90779.56,81,InStore,gold
546,Polygender,55,32209.39,67,Online,none
547,Female,58,29826.4,43,InStore,silver
548,Female,62,54121.23,56,InStore,gold
549,Genderfluid,78,65432.22,56,Online,none
550,Female,38,42971.72,86,Online,silver
551,Female,42,62703.3,62,InStore,none
552,Male,83,102935.8,53,InStore,silver
553,Male,64,69270,66,Online,platinum
554,Female,31,7585.03,62,InStore,silver
555,Female,81,45479.56,56,BOPS,none
556,Male,69,75717.94,70,InStore,gold
557,Male,58,45926.96,94,InStore,none
558,Male,30,21384.1,81,InStore,none
559,Female,77,16373.76,47,Online,none
560,Male,22,132111.83,57,InStore,none
561,Female,64,78861.98,81,InStore,silver
562,Male,68,59232.37,36,InStore,none
563,Agender,83,73809.89,94,Online,none
564,Female,77,67700.96,94,Online,silver
565,Male,22,39984.06,52,InStore,none
566,Female,44,63262.59,84,BOPS,gold
567,Male,25,56626.7,87,Online,silver
568,Male,30,45007.25,82,BOPS,none
569,Female,61,101144.99,83,InStore,none
570,Bigender,24,77128.9,80,InStore,silver
571,Male,46,24842,85,Online,none
572,Female,62,55081.95,51,InStore,none
573,Female,35,50256.29,77,InStore,none
574,Male,18,55656.19,90,Online,none
575,Genderfluid,26,90353.38,87,InStore,gold
576,Male,19,72322.12,86,InStore,none
577,Male,26,58674.15,67,InStore,none
578,Male,57,21200.86,47,InStore,none
579,Male,21,71506.37,74,InStore,silver
580,Male,74,75871.42,69,InStore,none
581,Female,33,39720.57,59,InStore,none
582,Female,33,74206.27,83,Online,none
583,Male,32,49500.63,82,InStore,none
584,Female,48,102504.41,70,Online,silver
585,Male,65,38696.86,61,InStore,gold
586,Female,67,86234.32,57,InStore,gold
587,Genderfluid,68,16887.19,74,Online,silver
588,Genderfluid,61,45424.71,71,InStore,silver
589,Female,76,25636.52,72,InStore,gold
590,Male,70,40923.64,60,Online,none
591,Female,39,57349.88,40,InStore,none
592,Male,73,54761.68,53,InStore,none
593,Female,47,58922.05,61,InStore,silver
594,Male,39,38789.06,40,InStore,gold
595,Male,47,61513.83,57,InStore,silver
596,Female,60,51972.65,50,InStore,none
597,Male,34,82662.92,42,Online,silver
598,Male,24,42130.95,88,InStore,silver
599,Male,19,63258.29,39,InStore,gold
600,Male,36,52015.43,54,BOPS,none
601,Female,45,35083.87,43,InStore,none
602,Agender,22,39624.73,44,InStore,silver
603,Female,73,37833.39,35,InStore,none
604,Male,20,55230.65,89,Online,none
605,Male,53,51076.56,44,BOPS,platinum
606,Female,18,14729.79,82,Online,silver
607,Male,70,28609.25,57,InStore,none
608,Female,37,27926.1,74,InStore,silver
609,Male,67,69642.09,48,InStore,gold
610,Polygender,79,41147.65,80,InStore,silver
611,Female,32,36940.33,53,InStore,none
612,Female,30,78219.55,60,InStore,none
613,Female,58,68283.6,69,InStore,none
614,Female,51,57863.86,94,Online,gold
615,Male,30,67042.19,84,InStore,silver
616,Male,35,71819.04,91,Online,none
617,Female,24,24613.25,60,BOPS,gold
618,Female,40,35077.64,50,Online,none
619,Male,37,46092.83,54,InStore,silver
620,Female,25,74774.59,93,InStore,silver
621,Male,72,67708.77,72,Online,none
622,Genderfluid,70,57878.93,93,InStore,none
623,Male,58,94480.84,63,Online,none
624,Male,58,43798.68,53,InStore,none
625,Male,54,71525.38,75,InStore,none
626,Female,51,68478.55,72,InStore,none
627,Male,45,6042.11,60,InStore,none
628,Female,43,94248.78,36,InStore,none
629,Male,74,90984.92,53,InStore,none
630,Male,78,23555.64,91,InStore,none
631,Female,66,20639.34,82,InStore,none
632,Female,35,52836.85,52,Online,silver
633,Male,83,43003.62,45,Online,platinum
634,Male,60,64309.84,72,Online,none
635,Female,71,40032.93,49,Online,silver
636,Male,71,36413.52,52,Online,none
637,Female,45,73831.58,53,InStore,none
638,Male,44,61718.67,49,InStore,none
639,Male,65,40916.02,59,InStore,none
640,Female,40,64565.64,87,Online,none
641,Female,72,75273,70,Online,none
642,Female,41,30772.63,51,Online,none
643,Female,18,36859.17,69,BOPS,none
644,Female,48,57215.98,40,InStore,silver
645,Female,29,61993.48,45,Online,gold
646,Male,33,55844.76,44,InStore,silver
647,Male,66,17053.78,38,Online,none
648,Female,65,59137.97,77,Online,silver
649,Female,61,50406.33,40,Online,silver
650,Male,28,25865.02,43,Online,none
651,Male,56,79714.38,62,InStore,none
652,Female,35,61777.7,84,BOPS,none
653,Female,70,92233.88,70,Online,silver
654,Female,59,96538.39,44,InStore,none
655,Non-binary,78,51006.93,37,BOPS,none
656,Male,70,46314.51,90,InStore,none
657,Male,76,93267.18,71,InStore,gold
658,Female,82,81244.13,80,InStore,gold
659,Female,69,54029.62,41,InStore,platinum
660,Male,34,50360.33,88,Online,silver
661,Female,41,51316.57,75,Online,gold
662,Female,44,25727.62,82,InStore,none
663,Female,61,34566.19,40,Online,none
664,Male,80,47115.79,52,Online,silver
665,Female,36,65987.42,35,Online,silver
666,Male,72,36993.7,94,Online,none
667,Male,23,113315.72,65,InStore,silver
668,Female,41,53032.87,53,InStore,none
669,Male,33,48729.79,49,InStore,none
670,Male,49,56160.53,53,InStore,silver
671,Male,67,31493.83,36,InStore,silver
672,Female,67,77300.3,52,InStore,platinum
673,Male,65,22401.95,82,Online,none
674,Agender,50,16111.67,50,InStore,none
675,Male,39,78533.32,53,InStore,silver
676,Female,63,29350.65,92,InStore,silver
677,Female,59,41010.2,82,InStore,silver
678,Female,81,57020.79,55,InStore,none
679,Female,31,22947.17,40,Online,none
680,Male,72,34412.88,83,InStore,none
